#Don't put as such on the web, use as private communication only!!
#authors of compilatio
# G. Lindstroem, IInd Inst. Exp. Phys., Univ. of Hamburg, Germany
#last update: 
#30-AprilA. Vasilescu, Appl. Nucl. Phys. Dpt., INPE, Bucharest, Romania
#      (Huhtinen, Summers)
#E_p [MeV] D/(95MeVmb)
3.685E+03 5.8316E-01
3.695E+03 5.8316E-01
3.705E+03 5.8316E-01
3.715E+03 5.8316E-01
3.725E+03 5.8316E-01
3.735E+03 5.8211E-01
3.745E+03 5.8211E-01
3.755E+03 5.8211E-01
3.765E+03 5.8211E-01
3.775E+03 5.8211E-01
3.785E+03 5.8211E-01
3.795E+03 5.8211E-01
3.805E+03 5.8105E-01
3.815E+03 5.8105E-01
3.825E+03 5.8105E-01
3.835E+03 5.8105E-01
3.845E+03 5.8105E-01
3.855E+03 5.8105E-01
3.865E+03 5.8105E-01
3.875E+03 5.8000E-01
3.885E+03 5.8000E-01
3.895E+03 5.8000E-01
3.905E+03 5.8000E-01
3.915E+03 5.8000E-01
3.925E+03 5.8000E-01
3.935E+03 5.8000E-01
3.945E+03 5.7895E-01
3.955E+03 5.7895E-01
3.965E+03 5.7895E-01
3.975E+03 5.7895E-01
3.985E+03 5.7895E-01
3.995E+03 5.7895E-01
4.005E+03 5.7895E-01
4.015E+03 5.7789E-01
4.025E+03 5.7789E-01
4.035E+03 5.7789E-01
4.045E+03 5.7789E-01
4.055E+03 5.7789E-01
4.065E+03 5.7789E-01
4.075E+03 5.7789E-01
4.085E+03 5.7684E-01
4.095E+03 5.7684E-01
4.105E+03 5.7684E-01
4.115E+03 5.7684E-01
4.125E+03 5.7684E-01
4.135E+03 5.7684E-01
4.145E+03 5.7684E-01
4.155E+03 5.7579E-01
4.165E+03 5.7579E-01
4.175E+03 5.7579E-01
4.185E+03 5.7579E-01
4.195E+03 5.7579E-01
4.205E+03 5.7579E-01
4.215E+03 5.7579E-01
4.225E+03 5.7474E-01
4.235E+03 5.7474E-01
4.245E+03 5.7474E-01
4.255E+03 5.7474E-01
4.265E+03 5.7474E-01
4.275E+03 5.7474E-01
4.285E+03 5.7474E-01
4.295E+03 5.7368E-01
4.305E+03 5.7368E-01
4.315E+03 5.7368E-01
4.325E+03 5.7368E-01
