#Don't put as such on the web! this is private communication only!!
#source of compilatio
#G. Lindstroem, IInd Inst. Exp. Phys., Univ. of Hamburg, Germany
#last update: 
#30-ApriA. Vasilescu, Appl. Nucl. Phys. Dpt., INPE, Bucharest, Romania
#
#Ekin [MeV]D/95MeVmb
 5.235E+03 4.316E-01
 5.245E+03 4.316E-01
 5.255E+03 4.316E-01
 5.265E+03 4.316E-01
 5.275E+03 4.316E-01
 5.285E+03 4.305E-01
 5.295E+03 4.305E-01
 5.305E+03 4.305E-01
 5.315E+03 4.305E-01
 5.325E+03 4.305E-01
 5.335E+03 4.305E-01
 5.345E+03 4.305E-01
 5.355E+03 4.305E-01
 5.365E+03 4.295E-01
 5.375E+03 4.295E-01
 5.385E+03 4.295E-01
 5.395E+03 4.295E-01
 5.405E+03 4.295E-01
 5.415E+03 4.295E-01
 5.425E+03 4.295E-01
 5.435E+03 4.295E-01
 5.445E+03 4.284E-01
 5.455E+03 4.284E-01
 5.465E+03 4.284E-01
 5.475E+03 4.284E-01
 5.485E+03 4.284E-01
 5.495E+03 4.284E-01
 5.505E+03 4.284E-01
 5.515E+03 4.284E-01
 5.525E+03 4.274E-01
 5.535E+03 4.274E-01
 5.545E+03 4.274E-01
 5.555E+03 4.274E-01
 5.565E+03 4.274E-01
 5.575E+03 4.274E-01
 5.585E+03 4.274E-01
 5.595E+03 4.274E-01
 5.605E+03 4.263E-01
 5.615E+03 4.263E-01
 5.625E+03 4.263E-01
 5.635E+03 4.263E-01
 5.645E+03 4.263E-01
 5.655E+03 4.263E-01
 5.665E+03 4.263E-01
 5.675E+03 4.253E-01
 5.685E+03 4.253E-01
 5.695E+03 4.253E-01
 5.705E+03 4.253E-01
 5.715E+03 4.253E-01
 5.725E+03 4.253E-01
 5.735E+03 4.253E-01
 5.745E+03 4.242E-01
 5.755E+03 4.242E-01
 5.765E+03 4.242E-01
 5.775E+03 4.242E-01
 5.785E+03 4.242E-01
 5.795E+03 4.242E-01
 5.805E+03 4.242E-01
 5.815E+03 4.232E-01
 5.825E+03 4.232E-01
 5.835E+03 4.232E-01
 5.845E+03 4.232E-01
 5.855E+03 4.232E-01
 5.865E+03 4.232E-01
 5.875E+03 4.232E-01
 5.885E+03 4.221E-01
 5.895E+03 4.221E-01
 5.905E+03 4.221E-01
 5.915E+03 4.221E-01
 5.925E+03 4.221E-01
 5.935E+03 4.221E-01
 5.945E+03 4.221E-01
 5.955E+03 4.211E-01
 5.965E+03 4.211E-01
 5.975E+03 4.211E-01
 5.985E+03 4.211E-01
 5.995E+03 4.211E-01
 6.005E+03 4.211E-01
 6.015E+03 4.211E-01
 6.025E+03 4.211E-01
 6.035E+03 4.200E-01
 6.045E+03 4.200E-01
 6.055E+03 4.200E-01
 6.065E+03 4.200E-01
 6.075E+03 4.200E-01
 6.085E+03 4.200E-01
 6.095E+03 4.200E-01
 6.105E+03 4.189E-01
 6.115E+03 4.189E-01
 6.125E+03 4.189E-01
 6.135E+03 4.189E-01
 6.145E+03 4.189E-01
 6.155E+03 4.189E-01
 6.165E+03 4.189E-01
 6.175E+03 4.179E-01
 6.185E+03 4.179E-01
 6.195E+03 4.179E-01
 6.205E+03 4.179E-01
 6.215E+03 4.179E-01
 6.225E+03 4.179E-01
 6.235E+03 4.179E-01
 6.245E+03 4.168E-01
