> Title:
PHOS MODULE # 2 - CALIBRATION and DEFORMATION MEASUREMENT BY DIGITAL PHOTOGRAMMETRY
> Date:
11/09/2006
> Subdetector:
PHOS
> Report URL:
https://edms.cern.ch/document/772860
> Version:
1
> General Observations:
Measurement of the 08/09/2006 is with prefix T1_
Measurement of the 11/09/2006 is with prefix T2_
Point Types: M(easured),T(ransformed), R(eference)
> Coordinate System:
LOCAL
> Units:
mm
> Nr Columns:
7
> Column Names:
Point Name,XLOCAL,YLOCAL,ZLOCAL,Point Type,Target Used,Precision(mm)
T1_25008,1426.6,-0.42,386.1,M,Y,0.08
T1_25009,1426.1,-0.92,432.2,M,Y,0.08
T1_25010,1425.79,-0.8,477.38,M,Y,0.08
T1_25011,1425.63,-0.58,522.9,M,Y,0.08
T1_25012,1426.41,-1.14,567.64,M,Y,0.08
T1_25013,1425.74,-0.84,612.54,M,Y,0.08
T1_25014,1426.21,-0.77,657.83,M,Y,0.08
T1_25015,1424.55,-0.29,703.43,M,Y,0.08
T1_25016,1425.24,-0.63,750.09,M,Y,0.08
T1_25017,1424.46,-0.12,794.94,M,Y,0.08
T1_25018,1424.52,-0.45,840.51,M,Y,0.08
T1_25019,1425.53,-0.37,886,M,Y,0.08
T1_25020,1424.19,-0.33,930.92,M,Y,0.08
T1_25021,1425.03,-0.27,976.3,M,Y,0.08
T1_25022,1425.06,-0.29,1022,M,Y,0.08
T1_25023,1425.22,-0.28,1067.4,M,Y,0.08
T1_25024,1424.78,-0.31,1112.28,M,Y,0.08
T1_25025,1424,0.09,1158.31,M,Y,0.08
T1_25026,1423.66,0.06,1203.28,M,Y,0.08
T1_25027,1424.21,-0.02,1251.13,M,Y,0.08
T2_5000,-12.98,154.75,-42.34,R,Y,0.08
T2_5001,1437.6,154.67,-44.01,R,Y,0.08
