Sensor/I:Type/C:Side/C:Sec/I:Num/I:ECha/I:Elmb/I:EAd/I:EIn/I
#Sensor	Type	Side	Sec	Num	ECha	Elmb	EAd	EIn
721	TPC	A	12	1	501	15	2	5
738	TPC	A	13	1	532	16	2	4
737	TPC	A	14	1	531	16	2	3
743	TPC	A	15	0	569	17	3	1
736	TPC	A	15	1	568	17	3	0
735	TPC	A	16	1	567	17	2	7
734	TPC	A	17	1	596	18	2	4
710	TPC	C	0	1	629	19	2	5
711	TPC	C	1	1	664	20	3	0
720	TPC	C	2	0	695	21	2	7
712	TPC	C	2	1	665	20	3	1
713	TPC	C	3	1	666	20	3	2
714	TPC	C	4	1	667	20	3	3
715	TPC	C	5	1	696	21	3	0
719	TPC	C	6	0	694	21	2	6
716	TPC	C	6	1	697	21	3	1
717	TPC	C	7	1	730	22	3	2
718	TPC	C	8	1	731	22	3	3
701	TPC	C	9	1	756	23	2	4
702	TPC	C	10	1	757	23	2	5
732	TPC	C	11	0	823	25	2	7
703	TPC	C	11	1	791	24	2	7
704	TPC	C	12	1	792	24	3	0
705	TPC	C	13	1	824	25	3	0
706	TPC	C	14	1	825	25	3	1
731	TPC	C	15	0	822	25	2	6
707	TPC	C	15	1	851	26	2	3
708	TPC	C	16	1	852	26	2	4
709	TPC	C	17	1	628	19	2	4
191	TS	A	0	0	333	10	1	5
218	TS	A	0	2	334	10	1	6
120	TS	A	0	3	340	10	2	4
199	TS	A	1	0	341	10	2	5
114	TS	A	1	2	360	11	1	0
127	TS	A	2	0	366	11	1	6
119	TS	A	2	3	353	11	0	1
214	TS	A	3	0	404	12	2	4
116	TS	A	3	3	399	12	1	7
130	TS	A	4	0	396	12	1	4
112	TS	A	4	3	417	13	0	1
128	TS	A	5	0	418	13	0	2
111	TS	A	5	2	469	14	2	5
124	TS	A	5	3	467	14	2	3
125	TS	A	6	0	466	14	2	2
123	TS	A	6	2	468	14	2	4
129	TS	A	6	3	487	15	0	7
109	TS	A	7	0	481	15	0	1
122	TS	A	7	2	494	15	1	6
126	TS	A	7	3	490	15	1	2
198	TS	A	8	0	517	16	0	5
197	TS	A	8	2	516	16	0	4
213	TS	A	8	3	529	16	2	1
200	TS	A	9	0	528	16	2	0
196	TS	A	9	2	549	17	0	5
212	TS	A	9	3	548	17	0	4
195	TS	A	10	0	563	17	2	3
194	TS	A	10	2	562	17	2	2
115	TS	A	10	3	560	17	2	0
193	TS	A	11	0	588	18	1	4
192	TS	A	11	2	592	18	2	0
113	TS	A	11	3	327	10	0	7
220	TS	C	0	0	627	19	2	3
149	TS	C	0	1	624	19	2	0
137	TS	C	0	2	623	19	1	7
135	TS	C	1	0	659	20	2	3
131	TS	C	1	1	661	20	2	5
167	TS	C	1	2	650	20	1	2
134	TS	C	2	0	651	20	1	3
169	TS	C	2	1	647	20	0	7
142	TS	C	2	2	642	20	0	2
140	TS	C	3	0	691	21	2	3
146	TS	C	3	1	692	21	2	4
136	TS	C	3	2	689	21	2	1
139	TS	C	4	0	681	21	1	1
110	TS	C	4	1	705	22	0	1
132	TS	C	4	2	707	22	0	3
141	TS	C	5	0	725	22	2	5
145	TS	C	5	1	729	22	3	1
183	TS	C	5	2	727	22	2	7
211	TS	C	6	0	750	23	1	6
144	TS	C	6	1	749	23	1	5
184	TS	C	7	0	778	24	1	2
166	TS	C	7	1	789	24	2	5
216	TS	C	7	2	784	24	2	0
133	TS	C	7	3	783	24	1	7
187	TS	C	8	0	775	24	0	7
219	TS	C	8	2	814	25	1	6
186	TS	C	8	3	821	25	2	5
217	TS	C	9	0	809	25	1	1
188	TS	C	9	2	807	25	0	7
148	TS	C	9	3	845	26	1	5
189	TS	C	10	0	850	26	2	2
147	TS	C	10	1	849	26	2	1
185	TS	C	10	2	841	26	1	1
181	TS	C	11	0	877	27	1	5
182	TS	C	11	1	879	27	1	7
190	TS	C	11	2	878	27	1	6
