# Optical properties of quartz Spectrasil2000
# Number of elements: 
880
# PhotonEnergy [eV]   AbsorptionLength [cm]   RefractionIndex
            1.92217                 5732.59           1.45667
             1.9192                 6025.58           1.45664
            1.91623                 6058.46           1.45662
            1.91327                  5706.5           1.45659
            1.91032                 5735.58           1.45656
            1.90738                 6085.94           1.45654
            1.90445                  5827.5           1.45651
            1.90153                 5844.96           1.45648
            1.89862                 5875.57           1.45645
            1.89572                 5679.77           1.45643
            1.89282                 5776.72            1.4564
            1.88994                 5976.07           1.45637
            1.88706                 6059.61           1.45635
            1.88419                 5770.87           1.45632
            1.88134                 5793.12           1.45629
            1.87848                 5903.16           1.45627
            1.87564                 6413.27           1.45624
            1.87281                 6257.32           1.45621
            1.86998                 5752.02           1.45619
            1.86717                 5914.52           1.45616
            1.86436                  6770.2           1.45614
            1.86156                 6090.01           1.45611
            1.85877                 6328.03           1.45609
            1.85599                 6819.33           1.45606
            1.85321                 6565.68           1.45603
            1.85045                 6406.16           1.45601
            1.84769                 6722.72           1.45598
            1.84494                 6303.98           1.45596
             1.8422                 6463.05           1.45593
            1.83947                 6378.99           1.45591
            1.83674                 6387.81           1.45589
            1.83402                  6397.4           1.45586
            1.83131                 6307.78           1.45584
            1.82861                  6572.9           1.45581
            1.82592                 6742.36           1.45579
            1.82324                 6764.41           1.45576
            1.82056                 6374.42           1.45574
            1.81789                 6485.72           1.45571
            1.81523                 6239.68           1.45569
            1.81257                 6516.36           1.45567
            1.80993                 6914.27           1.45564
            1.80729                 6332.51           1.45562
            1.80466                  6118.1           1.45559
            1.80203                  6633.9           1.45557
            1.79942                 6190.62           1.45555
            1.79681                 6754.96           1.45552
            1.79421                 6528.98            1.4555
            1.79162                  6678.6           1.45548
            1.78903                 6586.22           1.45545
            1.78646                 7516.12           1.45543
            1.78388                 7105.52           1.45541
            1.78132                 6576.86           1.45538
            1.77877                 7105.91           1.45536
            1.77622                 7534.53           1.45534
            1.77368                 6921.32           1.45531
            1.77114                  6680.9           1.45529
            1.76862                 7527.43           1.45527
             1.7661                 7658.27           1.45524
            1.76358                 6550.73           1.45522
            1.76108                 7329.74            1.4552
            1.75858                 7159.82           1.45518
            1.75609                 7791.78           1.45516
            1.75361                 6665.74           1.45513
            1.75113                 6577.01           1.45511
            1.74866                  6842.3           1.45509
             1.7462                 8204.14           1.45507
            1.74374                  7555.4           1.45504
            1.74129                 7266.13           1.45502
            1.73885                 7052.72             1.455
            1.73641                 8024.52           1.45498
            1.73399                 6897.01           1.45496
            1.73156                 6717.85           1.45494
            1.72915                 5852.34           1.45491
            1.72674                 5582.66           1.45489
            1.72434                 4452.22           1.45487
            1.72194                    4164           1.45485
            1.71956                 3846.83           1.45483
            1.71717                 3681.34           1.45481
             1.7148                  3498.6           1.45479
            1.71243                 3266.66           1.45476
            1.71007                 3338.81           1.45474
            1.70771                 3170.67           1.45472
            1.70536                 3224.11            1.4547
            1.70302                 3404.79           1.45468
            1.70069                 3321.36           1.45466
            1.69836                  3824.7           1.45464
            1.69603                 3972.64           1.45462
            1.69372                 4104.84            1.4546
            1.69141                 4278.88           1.45458
             1.6891                 4305.09           1.45456
             1.6868                 4618.24           1.45453
            1.68451                  4977.7           1.45451
            1.68223                 5287.77           1.45449
            1.67995                 5051.55           1.45447
            1.67767                 5263.34           1.45445
            1.67541                 5113.36           1.45443
            1.67314                 5448.14           1.45441
            1.67089                 6193.83           1.45439
            1.66864                 6745.95           1.45437
             1.6664                 6668.48           1.45435
            1.66416                 6090.11           1.45433
            1.66193                 6652.67           1.45431
            1.65971                 6029.66           1.45429
            1.65749                 7142.57           1.45427
            1.65527                 7089.84           1.45425
            1.65307                  7929.1           1.45423
            1.65087                  8220.7           1.45422
            1.64867                 8417.99            1.4542
            1.64648                 8196.47           1.45418
             1.6443                 8265.87           1.45416
            1.64212                 6985.31           1.45414
            1.63995                  7348.7           1.45412
            1.63778                 9090.44            1.4541
            1.63562                  8495.1           1.45408
            1.63347                 10025.4           1.45406
            1.63132                 8968.87           1.45404
            1.62917                 8247.21           1.45402
            1.62703                 8703.71             1.454
             1.6249                 8503.37           1.45398
            1.62277                 8196.07           1.45397
            1.62065                 8499.98           1.45395
            1.61854                  8362.2           1.45393
            1.61643                 10006.5           1.45391
            1.61432                 8673.85           1.45389
            1.61222                 8684.64           1.45387
            1.61013                 8692.28           1.45385
            1.60804                 9108.47           1.45383
            1.60596                   10886           1.45382
            1.60388                 9588.38            1.4538
            1.60181                 8908.22           1.45378
            1.59974                 9613.99           1.45376
            1.59768                 9947.08           1.45374
            1.59562                 10347.7           1.45372
            1.59357                 11920.9           1.45371
            1.59153                 13477.6           1.45369
            1.58949                 9453.94           1.45367
            1.58745                 9061.75           1.45365
            1.58542                 11487.2           1.45363
             1.5834                   10059           1.45361
            1.58138                 8825.23            1.4536
            1.57936                 9309.77           1.45358
            1.57735                 10766.3           1.45356
            1.57535                 8553.17           1.45354
            1.57335                 9147.07           1.45353
            1.57136                 9887.74           1.45351
            1.56937                 8886.83           1.45349
            1.56738                 9077.99           1.45347
             1.5654                 9483.31           1.45345
            1.56343                 10440.1           1.45344
            1.56146                 9680.78           1.45342
             1.5595                 10115.6            1.4534
            1.55754                 11669.9           1.45338
            1.55558                 10109.5           1.45337
            1.55363                 9835.36           1.45335
            1.55169                 10662.7           1.45333
            1.54975                 9989.43           1.45331
            1.54782                 8565.09            1.4533
            1.54589                 8910.62           1.45328
            1.54396                 9154.92           1.45326
            1.54204                 8709.73           1.45325
            1.54012                 8814.39           1.45323
